Feature,Importance,Normalized_importance,Cumulative Importance
RegisterLatitude,390,0.01248239662015107,0.01248239662015107
ExecutivesNumber,350,0.011202150812956087,0.023684547433107155
ListingAge,298,0.009537831263602612,0.03322237869670977
RegisterLongitude,297,0.009505825118422738,0.04272820381513251
IndDirectorRatio,293,0.009377800537703238,0.052106004352835744
Boardsize,271,0.008673665343746,0.060779669696581745
Mngmhldn,264,0.008449622327486878,0.06922929202406862
MaleRatio,239,0.007649468697990014,0.07687876072205864
IndLeverageRatioMedian,237,0.007585456407630265,0.0844642171296889
A001112000,236,0.00755345026245039,0.09201766739213929
A001223000,227,0.0072653949558315195,0.09928306234797081
IndustryCodeC,219,0.007009345794392523,0.10629240814236333
SharesBalance,217,0.0069453335040327744,0.1132377416463961
IndDirectorNetCentrality,212,0.0067853027781334015,0.1200230444245295
C001013000,211,0.006753296632953527,0.12677634105748303
A001205000,204,0.006529253616694405,0.13330559467417744
F081601B,194,0.00620919216489566,0.1395147868390731
D000105000,190,0.006081167584176162,0.14559595442324924
Seperation,189,0.006049161438996287,0.15164511586224552
AverageAge,188,0.006017155293816413,0.15766227115606193
InefficInvestDegree,187,0.005985149148636538,0.16364742030469848
F030901A,187,0.005985149148636538,0.16963256945333502
A002210000,179,0.005729099987197542,0.17536166944053255
C002100000,174,0.005569069261298169,0.1809307387018307
A002208000,172,0.00550505697093842,0.18643579567276913
OwnershipProportion,165,0.0052810139546792985,0.19171680962744844
A003103000,165,0.0052810139546792985,0.19699782358212775
C002001000,164,0.005249007809499424,0.20224683139162716
TextualSimilarity,162,0.005184995519139675,0.20743182691076684
A001110000,162,0.005184995519139675,0.2126168224299065
EmotionTone2,160,0.0051209832287799255,0.21773780565868645
A001121000,159,0.005088977083600051,0.22282678274228648
A001213000,158,0.005056970938420177,0.22788375368070665
B001302101,157,0.005024964793240302,0.23290871847394695
A003101000,155,0.004960952502880553,0.2378696709768275
C003007000,150,0.0048009217769811804,0.2426705927538087
F060201B,150,0.0048009217769811804,0.2474715145307899
TopTenHoldersRate,149,0.004768915631801306,0.2522404301625912
F030301A,147,0.004704903341441557,0.25694533350403276
A002112000,144,0.004608884905901933,0.2615542184099347
SupervisorSize,143,0.004576878760722059,0.26613109717065675
C001012000,142,0.004544872615542184,0.27067596978619896
F051701B,142,0.004544872615542184,0.27522084240174116
ControlProportion,142,0.004544872615542184,0.27976571501728337
C002002000,141,0.00451286647036231,0.2842785814876457
F052201B,140,0.004480860325182435,0.2887594418128281
BusinessYear,137,0.004384841889642811,0.2931442837024709
F031001A,137,0.004384841889642811,0.29752912559211375
F062201B,136,0.004352835744462937,0.3018819613365767
A002120000,133,0.0042568173089233136,0.3061387786455
A001222000,133,0.0042568173089233136,0.3103955959544233
D000107000,131,0.004192805018563564,0.31458840097298685
LargestHolderRate,130,0.004160798873383689,0.3187491998463705
F040501B,130,0.004160798873383689,0.3229099987197542
A001221000,130,0.004160798873383689,0.32707079759313784
D000104000,128,0.004096786583023941,0.33116758417616177
C001022000,125,0.004000768147484317,0.33516835232364606
F033101B,122,0.003904749711944693,0.33907310203559077
F041601B,122,0.003904749711944693,0.3429778517475355
C002007000,121,0.0038727435667648188,0.3468505953143003
A003200000,118,0.003776725131225195,0.35062732044552547
F081901B,118,0.003776725131225195,0.35440404557675065
A002125000,116,0.0037127128408654462,0.3581167584176161
A002107000,116,0.0037127128408654462,0.3618294712584815
F041001B,116,0.0037127128408654462,0.36554218409934697
A003102000,116,0.0037127128408654462,0.3692548969402124
A001125000,114,0.003648700550505697,0.3729035974907181
F031401A,113,0.0036166944053258225,0.3765202918960439
F032501B,113,0.0036166944053258225,0.3801369863013697
F031301A,112,0.003584688260145948,0.3837216745615157
A002113000,112,0.003584688260145948,0.38730636282166164
B001305000,111,0.0035526821149660737,0.3908590449366277
F053202B,111,0.0035526821149660737,0.3944117270515938
F032201B,111,0.0035526821149660737,0.39796440916655984
B001500000,111,0.0035526821149660737,0.4015170912815259
F011301A,111,0.0035526821149660737,0.40506977339649197
F062001B,110,0.003520675969786199,0.4085904493662782
ContrshrProportion,110,0.003520675969786199,0.4121111253360644
B001400000,110,0.003520675969786199,0.41563180130585065
F100802A,108,0.00345666367942645,0.4190884649852771
F091301A,107,0.003424657534246575,0.42251312251952367
B001212000,106,0.0033926513890667007,0.42590577390859036
F040201B,106,0.0033926513890667007,0.42929842529765705
D000102000,106,0.0033926513890667007,0.43269107668672374
D000106000,106,0.0033926513890667007,0.43608372807579043
F061401C,105,0.0033606452438868263,0.4394443733196773
StaffIntensity,104,0.003328639098706952,0.44277301241838424
C002200000,103,0.003296632953527077,0.4460696453719113
F031201A,103,0.003296632953527077,0.44936627832543835
SA,101,0.003232620663167328,0.45259889898860567
TargetDebtRatio,101,0.003232620663167328,0.455831519651773
F011001B,101,0.003232620663167328,0.4590641403149403
F091401A,100,0.0032006145179874538,0.4622647548329278
C002003000,100,0.0032006145179874538,0.46546536935091526
F040502B,97,0.00310459608244783,0.4685699654333631
D000112000,97,0.00310459608244783,0.47167456151581094
B001210000,97,0.00310459608244783,0.4747791575982588
B001207000,96,0.0030725899372679557,0.4778517475355267
A001218000,95,0.003040583792088081,0.48089233132761483
B001209000,95,0.003040583792088081,0.48393291511970293
F032701B,95,0.003040583792088081,0.48697349891179104
F081801B,92,0.002944565356548457,0.4899180642683395
F061901B,92,0.002944565356548457,0.49286262962488797
C001020000,91,0.0029125592113685827,0.49577518883625654
F100801A,89,0.002848546921008834,0.4986237357572654
C004000000,89,0.002848546921008834,0.5014722826782743
F030801A,89,0.002848546921008834,0.5043208295992831
F030201A,88,0.002816540775828959,0.5071373703751121
B005000000,88,0.002816540775828959,0.509953911150941
F051901B,88,0.002816540775828959,0.51277045192677
F012101A,88,0.002816540775828959,0.5155869927025989
F041301B,88,0.002816540775828959,0.5184035334784278
F110101B,88,0.002816540775828959,0.5212200742542568
F100301B,86,0.00275252848546921,0.523972602739726
D000115000,86,0.00275252848546921,0.5267251312251953
A002101000,85,0.0027205223402893357,0.5294456535654846
F041401B,85,0.0027205223402893357,0.5321661759057739
F031901A,85,0.0027205223402893357,0.5348866982460632
F110302B,84,0.002688516195109461,0.5375752144411726
F052001B,83,0.0026565100499295865,0.5402317244911022
C003002000,83,0.0026565100499295865,0.5428882345410319
F101201B,83,0.0026565100499295865,0.5455447445909615
A001123000,83,0.0026565100499295865,0.5482012546408911
F051801B,82,0.002624503904749712,0.5508257585456408
D000109000,82,0.002624503904749712,0.5534502624503904
F040901B,81,0.0025924977595698376,0.5560427602099602
F061801B,81,0.0025924977595698376,0.5586352579695301
F040801B,80,0.0025604916143899628,0.56119574958392
F060901B,80,0.0025604916143899628,0.56375624119831
F032101B,80,0.0025604916143899628,0.5663167328127
B006000102,80,0.0025604916143899628,0.56887722442709
F082001B,80,0.0025604916143899628,0.57143771604148
F100201B,79,0.0025284854692100883,0.5739662015106901
F010601A,79,0.0025284854692100883,0.5764946869799003
MaintainInvest,79,0.0025284854692100883,0.5790231724491104
F091402A,79,0.0025284854692100883,0.5815516579183205
F091302A,79,0.0025284854692100883,0.5840801433875307
F061001B,78,0.002496479324030214,0.5865766227115609
F041101B,77,0.002464473178850339,0.5890410958904112
F031501A,77,0.002464473178850339,0.5915055690692615
A002206000,76,0.0024324670336704646,0.593938036102932
ZScore,75,0.0024004608884905902,0.5963384969914226
F100701A,75,0.0024004608884905902,0.5987389578799132
C003005000,75,0.0024004608884905902,0.6011394187684037
A001111000,74,0.002368454743310716,0.6035078735117144
F031601A,74,0.002368454743310716,0.6058763282550251
F062101B,73,0.002336448598130841,0.608212776853156
F041402B,73,0.002336448598130841,0.6105492254512869
A001212000,73,0.002336448598130841,0.6128856740494177
IsCocurP,73,0.002336448598130841,0.6152221226475486
F010501A,72,0.0023044424529509665,0.6175265651004995
D000111000,72,0.0023044424529509665,0.6198310075534504
F080502A,71,0.002272436307771092,0.6221034438612215
B001302000,70,0.0022404301625912177,0.6243438740238128
F031701A,70,0.0022404301625912177,0.626584304186404
A001200000,70,0.0022404301625912177,0.6288247343489952
FixedAssetsProp,70,0.0022404301625912177,0.6310651645115865
F061401B,69,0.002208424017411343,0.6332735885289978
D000114000,69,0.002208424017411343,0.6354820125464092
ProfitPerCapita,69,0.002208424017411343,0.6376904365638206
StockYield,68,0.0021764178722314684,0.6398668544360521
C001014000,68,0.0021764178722314684,0.6420432723082835
F081001B,68,0.0021764178722314684,0.644219690180515
F110701B,67,0.002144411727051594,0.6463641019075665
F020101,67,0.002144411727051594,0.6485085136346181
ExcessiveDebtDegree,67,0.002144411727051594,0.6506529253616697
DeleveragingDegree,67,0.002144411727051594,0.6527973370887213
F011501A,67,0.002144411727051594,0.6549417488157729
F100601B,66,0.0021124055818717196,0.6570541543976447
F110401B,66,0.0021124055818717196,0.6591665599795165
AddInvestExpend,66,0.0021124055818717196,0.6612789655613882
InefficInvestSign,66,0.0021124055818717196,0.66339137114326
D000110000,66,0.0021124055818717196,0.6655037767251317
F032601B,65,0.0020803994366918447,0.6675841761618235
F032301B,65,0.0020803994366918447,0.6696645755985153
F030601A,65,0.0020803994366918447,0.6717449750352071
F032801B,65,0.0020803994366918447,0.6738253744718989
A003105000,65,0.0020803994366918447,0.6759057739085907
F031801A,64,0.0020483932915119703,0.6779541672001027
F062401B,64,0.0020483932915119703,0.6800025604916147
D000113000,64,0.0020483932915119703,0.6820509537831266
F032401B,63,0.002016387146332096,0.6840673409294588
ConcurrentPosition,63,0.002016387146332096,0.6860837280757909
F050901B,63,0.002016387146332096,0.688100115222123
GrowthOpportunity,63,0.002016387146332096,0.6901165023684551
F082302B,63,0.002016387146332096,0.6921328895147872
F012501B,63,0.002016387146332096,0.6941492766611194
D000103000,63,0.002016387146332096,0.6961656638074515
B002000201,62,0.001984381001152221,0.6981500448086037
F101202B,62,0.001984381001152221,0.7001344258097558
F080501A,62,0.001984381001152221,0.702118806810908
A002200000,62,0.001984381001152221,0.7041031878120602
F041501B,61,0.0019523748559723466,0.7060555626680325
F032001A,61,0.0019523748559723466,0.7080079375240048
F092301B,60,0.0019203687107924722,0.7099283062347973
A002108000,60,0.0019203687107924722,0.7118486749455898
F010201A,60,0.0019203687107924722,0.7137690436563823
F081501B,60,0.0019203687107924722,0.7156894123671748
F110601B,59,0.0018883625656125975,0.7175777749327874
F110301B,58,0.0018563564204327231,0.7194341313532201
F101301B,58,0.0018563564204327231,0.7212904877736528
TotalInvest,58,0.0018563564204327231,0.7231468441940855
B001211000,58,0.0018563564204327231,0.7250032006145182
F012701B,58,0.0018563564204327231,0.7268595570349509
CashFlowStatus,57,0.0018243502752528485,0.7286839073102037
F040503B,57,0.0018243502752528485,0.7305082575854566
F061301B,57,0.0018243502752528485,0.7323326078607094
F033501A,57,0.0018243502752528485,0.7341569581359623
F040601B,57,0.0018243502752528485,0.7359813084112151
F010301A,56,0.001792344130072974,0.7377736525412881
Profitability,56,0.001792344130072974,0.7395659966713611
OneControlMany,56,0.001792344130072974,0.7413583408014341
F010401A,56,0.001792344130072974,0.7431506849315072
F100101B,56,0.001792344130072974,0.7449430290615802
F092302B,55,0.0017603379848930994,0.7467033670464732
F032901B,55,0.0017603379848930994,0.7484637050313663
C001021000,55,0.0017603379848930994,0.7502240430162593
A003000000,54,0.001728331839713225,0.7519523748559725
F080703B,54,0.001728331839713225,0.7536807066956858
F040701B,54,0.001728331839713225,0.755409038535399
F082101B,53,0.0016963256945333504,0.7571053642299324
C002006000,53,0.0016963256945333504,0.7588016899244657
C002000000,53,0.0016963256945333504,0.7604980156189991
F080901B,53,0.0016963256945333504,0.7621943413135325
F070101B,53,0.0016963256945333504,0.7638906670080658
F081203B,52,0.001664319549353476,0.7655549865574193
KZ,52,0.001664319549353476,0.7672193061067727
F012401B,52,0.001664319549353476,0.7688836256561261
C003200000,52,0.001664319549353476,0.7705479452054795
F091901B,52,0.001664319549353476,0.772212264754833
F040302B,52,0.001664319549353476,0.7738765843041864
F100902A,52,0.001664319549353476,0.7755409038535398
F040803B,52,0.001664319549353476,0.7772052234028932
D000205000,51,0.0016323134041736013,0.7788375368070668
F040101B,51,0.0016323134041736013,0.7804698502112404
F081201B,51,0.0016323134041736013,0.782102163615414
F051601B,51,0.0016323134041736013,0.7837344770195875
F020102,51,0.0016323134041736013,0.7853667904237611
A001100000,51,0.0016323134041736013,0.7869991038279347
F053301B,51,0.0016323134041736013,0.7886314172321083
F062301B,51,0.0016323134041736013,0.7902637306362819
F011901A,50,0.0016003072589937269,0.7918640378952756
F040203B,50,0.0016003072589937269,0.7934643451542693
F040202B,49,0.0015683011138138522,0.7950326462680832
A001101000,49,0.0015683011138138522,0.7966009473818971
F041502B,49,0.0015683011138138522,0.798169248495711
F061302B,49,0.0015683011138138522,0.7997375496095249
F040702B,49,0.0015683011138138522,0.8013058507233388
F051301B,49,0.0015683011138138522,0.8028741518371527
F091201A,49,0.0015683011138138522,0.8044424529509666
F080701B,49,0.0015683011138138522,0.8060107540647805
F081101B,48,0.0015362949686339778,0.8075470490334145
F060301B,48,0.0015362949686339778,0.8090833440020484
F033201B,48,0.0015362949686339778,0.8106196389706823
F100904A,48,0.0015362949686339778,0.8121559339393163
B002100000,48,0.0015362949686339778,0.8136922289079502
F020105,47,0.0015042888234541032,0.8151965177314043
Growth,47,0.0015042888234541032,0.8167008065548584
F041002B,47,0.0015042888234541032,0.8182050953783125
MngmOverseaBack,47,0.0015042888234541032,0.8197093842017666
C003100000,47,0.0015042888234541032,0.8212136730252207
OScore,46,0.0014722826782742286,0.822685955703495
F033401B,46,0.0014722826782742286,0.8241582383817693
F011401A,46,0.0014722826782742286,0.8256305210600435
F040401B,46,0.0014722826782742286,0.8271028037383178
F092103C,45,0.0014402765330943541,0.8285430802714121
F030101A,45,0.0014402765330943541,0.8299833568045064
C001200000,45,0.0014402765330943541,0.8314236333376007
A003100000,45,0.0014402765330943541,0.832863909870695
F061301C,45,0.0014402765330943541,0.8343041864037893
FinLeverageRatio,44,0.0014082703879144795,0.8357124567917038
F082202B,44,0.0014082703879144795,0.8371207271796183
F082603B,44,0.0014082703879144795,0.8385289975675327
F091101A,44,0.0014082703879144795,0.8399372679554472
C003006000,44,0.0014082703879144795,0.8413455383433617
F080801B,44,0.0014082703879144795,0.8427538087312761
F040602B,44,0.0014082703879144795,0.8441620791191906
B001200000,44,0.0014082703879144795,0.8455703495071051
